lat,long,zero_name,first_name,first_type,second_name,second_type,third_name,third_type,zero_type
51.58,0.18,The Mews,Travelodge London Romford,"['lodging', 'point_of_interest', 'establishment']",Devitt Insurance Services Limited,"['insurance_agency', 'point_of_interest', 'establishment']",Ocean Florida,"['travel_agency', 'point_of_interest', 'establishment']",['route']
51.57,0.19,84-4 Craigdale Rd,The Learning Centre,"['point_of_interest', 'establishment']",Jupp Judith,"['point_of_interest', 'establishment']",A1 Network,"['point_of_interest', 'establishment']",['route']
51.57,0.17,Sandgate Close,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.6,0.29,Warley Road,Warley,"['locality', 'political']",Na,Na,Na,Na,['route']
51.72,0.53,Maldon Road,Sandon,"['locality', 'political']",Na,Na,Na,Na,['route']
51.63,0.23,Brentwood,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.5,-0.12,London,St. Thomas' Campus,"['premise', 'hospital', 'point_of_interest', 'establishment']",WHSmith,"['convenience_store', 'book_store', 'store', 'food', 'point_of_interest', 'establishment']",st.thomas hospital car park (pay log),"['parking', 'point_of_interest', 'establishment']","['locality', 'political']"
51.56,0.23,35-45 A124,Hacton Dental Care,"['dentist', 'doctor', 'health', 'point_of_interest', 'establishment']",Hornchurch,"['locality', 'political']",Na,Na,['route']
51.59,0.24,Romford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.76,0.54,Hulton Close,Boreham,"['locality', 'political']",Na,Na,Na,Na,['route']
51.58,0.28,London Orbital Motorway,Upminster,"['locality', 'political']",Na,Na,Na,Na,['route']
51.65,0.36,Na,Na,Na,Na,Na,Na,Na,Na
51.64,0.32,Brentwood,Pilgrims Hatch,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.59,0.19,Romford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.57,0.22,Thorpe Close,Fireplace Fitter,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",Angela Watkinson MP,"['point_of_interest', 'establishment']",Butts Green Road,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",['route']
51.68,0.03,Honey Lane,Waltham Abbey,"['locality', 'political']",Na,Na,Na,Na,['route']
51.73,0.48,1,Simply Stunning Cars,"['point_of_interest', 'establishment']",Oasis Dental Care,"['dentist', 'health', 'point_of_interest', 'establishment']",Côte Chelmsford,"['point_of_interest', 'establishment']",['route']
51.76,0.52,Boreham,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.59,0.04,London,Roding Valley Park,"['park', 'premise', 'point_of_interest', 'establishment']",Woodford,"['locality', 'political']",Na,Na,"['locality', 'political']"
51.6,0.27,Upminster,Warley,"['locality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.58,0.17,1-55 Vine St,Crabtree Insulation,"['general_contractor', 'point_of_interest', 'establishment']",The Property Cloud (Essex),"['real_estate_agency', 'point_of_interest', 'establishment']",Romford,"['locality', 'political']",['route']
51.53,0.28,South Ockendon,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.79,0.64,4 Ashby Rd,Witham,"['locality', 'political']",Na,Na,Na,Na,['route']
51.68,-0.05,Bullsmoor Lane,McDonald's,"['restaurant', 'food', 'point_of_interest', 'establishment']",Bullsmoor Express,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",Cirkle K,"['point_of_interest', 'establishment']",['route']
51.56,0.29,London Orbital Motorway,Cranham Court Nursing Home,"['health', 'point_of_interest', 'establishment']",Friends of Upminster Windmill,"['point_of_interest', 'establishment']",Upminster,"['locality', 'political']",['route']
51.57,0.16,Allen Ford Romford Service,Romford,"['locality', 'political']",allen ford romford,"['premise', 'storage', 'point_of_interest', 'establishment']",Na,Na,"['car_repair', 'point_of_interest', 'establishment']"
51.46,0.25,Dartford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.74,0.52,A12,Chelmsford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.69,0.1,Epping Classic Cars,Epping,"['locality', 'political']",Just Transits and Just Transits van hire,"['car_repair', 'point_of_interest', 'establishment']",Na,Na,"['car_repair', 'point_of_interest', 'establishment']"
51.509201,-0.0955,London,City of London,"['sublocality_level_1', 'locality', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.89,0.84,2-14 Rugosa Cl,Na,Na,Na,Na,Na,Na,['route']
51.9,0.9,Petrolea Close,Colchester,"['locality', 'political']",Na,Na,Na,Na,['route']
51.63,0.32,108 A1023,Midnight,"['point_of_interest', 'establishment']",L'uomo Menswear,"['clothing_store', 'store', 'point_of_interest', 'establishment']",Brentwood,"['locality', 'political']",['route']
51.58,0.16,Eastern Avenue West,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.69,0.42,Margaretting,AP Bespoke Interiors,"['general_contractor', 'point_of_interest', 'establishment']",OH Construction ltd,"['point_of_interest', 'establishment']",Na,Na,"['locality', 'political']"
51.59,0.27,London Orbital Motorway,Upminster,"['locality', 'political']",Na,Na,Na,Na,['route']
51.62,0.24,Na,Na,Na,Na,Na,Na,Na,Na
51.56,0.06,21323 N Circular Rd,Ilford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.9,0.89,Colchester,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.73,0.47,103-109 B1007,Kwik Fit Plus,"['car_repair', 'store', 'point_of_interest', 'establishment']",Open Road,"['health', 'point_of_interest', 'establishment']",Chelmer Lodge,"['lodging', 'health', 'point_of_interest', 'establishment']",['route']
51.8,0.65,5-10 Wheaton Rd,Witham,"['locality', 'political']",Na,Na,Na,Na,['route']
51.68,0.13,Hobbs Cross Road,Na,Na,Na,Na,Na,Na,['route']
51.68,0.04,Waltham Abbey,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.68,0.12,London Orbital Motorway,Epping,"['locality', 'political']",Na,Na,Na,Na,['route']
51.92,0.9,Mile End,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.59,0.2,Romford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.57,0.2,164-70 Hillcrest Rd,Huttons Bespoke Furniture,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Hornchurch,"['locality', 'political']",Na,Na,['route']
51.59,0.25,Romford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.51,-0.02,Shirbutt Street,St Francis Family Centre,"['school', 'point_of_interest', 'establishment']",Our Lady & St Joseph Catholic Primary School,"['school', 'point_of_interest', 'establishment']",Right-Invest,"['point_of_interest', 'establishment']",['route']
51.7,0.52,Na,Na,Na,Na,Na,Na,Na,Na
51.63,0.35,Wainwright Avenue,Brentwood,"['locality', 'political']",Na,Na,Na,Na,['route']
51.59,0.46,Na,Na,Na,Na,Na,Na,Na,Na
51.52,0.27,South Ockendon,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.62,0.25,Brentwood,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.58,0.12,344-368 Chadwell Heath Ln,GR ENGINEERS LTD,"['point_of_interest', 'establishment']",College Sports Ground,"['premise', 'point_of_interest', 'establishment']",Na,Na,['route']
51.43,0.24,London Orbital Motorway,Dartford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.7,0.44,Na,Na,Na,Na,Na,Na,Na,Na
51.65,0.2,London Orbital Motorway,Na,Na,Na,Na,Na,Na,['route']
51.64,0.21,Na,Na,Na,Na,Na,Na,Na,Na
51.61,0.32,Brentwood RFC Pitch 4,Brentwood RFC Pitch 3,"['premise', 'point_of_interest', 'establishment']",Warley,"['locality', 'political']",Na,Na,"['premise', 'point_of_interest', 'establishment']"
51.51,-0.04,17-41 Narrow St,La Figa Restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Excelcare,"['hospital', 'health', 'point_of_interest', 'establishment']",Franklyn James,"['real_estate_agency', 'point_of_interest', 'establishment']",['route']
51.58,0.24,127 A127,Unison Scaffolding Ltd,"['point_of_interest', 'establishment']",Marks & Spencer Hornchurch BP,"['gas_station', 'convenience_store', 'store', 'food', 'point_of_interest', 'establishment']",Scenery Fencing UK Ltd,"['general_contractor', 'point_of_interest', 'establishment']",['route']
51.57,0.12,27-53 Grove Rd,Grove Social Club,"['point_of_interest', 'establishment']",Na,Na,Na,Na,['route']
51.53,-0.02,31-22 Wrexham Rd,Stagecoach East London Bus Garage,"['point_of_interest', 'establishment']",Fizz Pop Science,"['point_of_interest', 'establishment']",London,"['locality', 'political']",['route']
51.61,0.22,35-87 N Hill Dr,J S Sealants & Contractors,"['point_of_interest', 'establishment']",Romford,"['locality', 'political']",Na,Na,['route']
51.74,0.47,3-89 Bishop Rd,Fountain High Ltd,"['physiotherapist', 'health', 'point_of_interest', 'establishment']",Chelmsford,"['locality', 'political']",Na,Na,['route']
51.52,-0.01,21-39 Gillender St,Bow,"['point_of_interest', 'establishment']",London,"['locality', 'political']",Na,Na,['route']
51.85,0.73,Feering,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.75,0.51,Colchester Road,NHS Mid Essex Clinical Commissioning Group,"['local_government_office', 'health', 'point_of_interest', 'establishment']",Inchcape Honda Chelmsford,"['car_dealer', 'store', 'point_of_interest', 'establishment']",Glyn Hopkin Honda Chelmsford,"['car_dealer', 'store', 'point_of_interest', 'establishment']",['route']
51.66,0.36,Na,Na,Na,Na,Na,Na,Na,Na
51.68,0.39,Ingatestone,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.65,0.34,Brentwood,Pilgrims Hatch,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.56,0.22,53-59 Station Ln,The Chartered Institute Of Plumbing and Heating Engineering,"['plumber', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Plumbing Promotions Limited,"['plumber', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",Plumbing and Heating Industry Alliance,"['plumber', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",['route']
51.88,0.79,London Road,Land Rover Experience,"['car_dealer', 'store', 'point_of_interest', 'establishment']",Blackstone Contractors Ltd,"['general_contractor', 'point_of_interest', 'establishment']",BSG Tractors and Machinery,"['car_repair', 'food', 'point_of_interest', 'establishment']",['route']
51.84,0.72,Feering,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.61,0.31,74-2 South Dr,Hartswood Road,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",Warley,"['locality', 'political']",Na,Na,['route']
51.44,0.24,Dartford,Stone,"['sublocality_level_1', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.49,0.26,Purfleet,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.66,0.18,Stapleford Tawney,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.89,0.85,159 Hargood Cl,"Brown and White Tanning, Hair & Beauty salon","['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']",Colchester,"['locality', 'political']",Na,Na,['route']
51.55,-0.01,London,Stratford,"['sublocality_level_1', 'locality', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.87,0.77,Marks Tey,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.72,0.46,32-10 Bruce Grove,Tin Wizard,"['point_of_interest', 'establishment']",24/7 Mobile Solutions Ltd,"['electronics_store', 'store', 'point_of_interest', 'establishment']",Chelmsford,"['locality', 'political']",['route']
51.58,0.26,Upminster,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.51,0.01,Lower Lea Crossing,London,"['locality', 'political']",Na,Na,Na,Na,['route']
51.82,0.68,Na,Na,Na,Na,Na,Na,Na,Na
51.77,0.55,Boreham,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.7,0.43,Na,Na,Na,Na,Na,Na,Na,Na
51.67,0.37,Ingatestone,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.54,0.28,Upminster,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.51,-0.05,106-130 Glamis Pl,Glamis Place,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",Glamis Estate,"['premise', 'point_of_interest', 'establishment']",London,"['locality', 'political']",['route']
51.7,0.51,Na,Na,Na,Na,Na,Na,Na,Na
51.65,0.19,Na,Na,Na,Na,Na,Na,Na,Na
51.49,0.28,Grays,Young Driver Lakeside,"['point_of_interest', 'establishment']",Na,Na,Na,Na,"['locality', 'political']"
51.61,0.21,Whitworth Avenue,Romford,"['locality', 'political']",Na,Na,Na,Na,['route']
51.73,0.46,Chelmsford,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.56,0.24,11-13 Berkeley Dr,Property Maintenance,"['plumber', 'home_goods_store', 'store', 'general_contractor', 'point_of_interest', 'establishment']",Hornchurch,"['locality', 'political']",Na,Na,['route']
